police,bar,night_club,hospital,shopping_mall,bus_station,train_station,safety_cluster,safety_label
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,1,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
2,20,4,20,20,0,0,2,Moderately Safe
0,3,0,1,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
0,0,0,0,0,0,0,1,Safe
7,20,10,11,8,0,0,4,Extremely Unsafe
